Rk,Player,G,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Team
95,Eddie Rosario,832,2015,2022,23-30,832,3322,3114,449,847,532,155,25,135,453,51,23,164,617,0.272,0.306,0.468,0.774,106,1457,40,3,12,29,15,*798DH/5,"ATL,CLE,MIN"
96,Adam Duvall,826,2014,2022,25-33,826,3026,2757,380,632,322,135,13,162,476,18,12,204,862,0.229,0.289,0.464,0.753,96,1279,38,37,0,27,7,79H83/5D,"ATL,CIN,MIA,SFG"
97,Trevor Story,826,2016,2022,23-29,826,3478,3129,512,836,439,197,27,173,508,110,30,294,970,0.267,0.335,0.513,0.848,111,1606,51,35,2,18,16,*64H/D,"BOS,COL"
98,Jake Marisnick,825,2013,2022,22-31,825,2145,1959,276,446,280,90,13,63,211,79,29,115,643,0.228,0.281,0.383,0.664,81,751,32,35,22,13,5,8H79D,"CHC,HOU,MIA,NYM,PIT,SDP"
99,Carlos Correa,818,2015,2022,20-27,818,3511,3078,475,852,526,175,8,143,520,33,8,378,723,0.277,0.356,0.478,0.834,128,1472,90,20,0,35,19,*6/HD,"HOU,MIN"
100,Chris Taylor,817,2014,2022,23-31,817,2985,2651,409,687,408,165,29,85,336,64,18,281,843,0.259,0.335,0.439,0.775,108,1165,30,30,7,16,8,6784H59D,"LAD,SEA"
101,Nick Ahmed,816,2014,2022,24-32,816,2953,2699,330,636,401,144,23,68,305,36,21,203,575,0.236,0.29,0.382,0.672,77,1030,65,14,13,24,14,6H/4D,ARI
102,Aaron Hicks,816,2013,2022,23-32,816,3091,2649,399,618,399,107,14,98,337,64,26,389,651,0.233,0.332,0.395,0.728,99,1047,38,17,11,25,7,897HD,"MIN,NYY"
103,Odúbel Herrera,811,2015,2022,23-30,811,3166,2901,374,788,533,158,19,78,303,66,25,210,658,0.272,0.326,0.42,0.746,100,1218,45,32,9,13,14,*8H79,PHI
104,Tommy Pham,811,2014,2022,26-34,811,3135,2697,466,708,459,123,18,108,336,96,27,390,734,0.263,0.36,0.442,0.802,117,1191,86,30,3,15,11,78HD9,"CIN,SDP,STL,TBR"
105,Tucker Barnhart,801,2014,2022,23-31,801,2740,2430,227,596,418,121,6,51,270,6,5,260,555,0.245,0.321,0.363,0.684,81,882,65,19,15,16,35,2H3/19,"CIN,DET"
106,Max Kepler,801,2015,2022,22-29,801,3229,2834,423,664,365,157,13,129,394,32,15,336,583,0.234,0.32,0.435,0.756,104,1234,30,34,2,23,10,*98HD/3,MIN
107,Josh Bell,785,2016,2022,23-29,785,3135,2723,402,723,434,148,16,125,444,4,12,365,569,0.266,0.352,0.469,0.821,121,1278,85,15,0,30,28,*3HD9/7,"PIT,WSN"
108,Michael A. Taylor,780,2014,2022,23-31,780,2568,2355,288,568,378,109,11,70,262,92,29,180,766,0.241,0.297,0.386,0.683,81,909,35,12,9,12,14,8H79/D13,"KCR,WSN"
109,Trea Turner,776,2015,2022,22-29,776,3414,3123,534,946,623,174,34,115,399,220,41,249,618,0.303,0.357,0.491,0.848,123,1533,52,23,2,15,8,648H,"LAD,WSN"
110,Jurickson Profar,767,2012,2022,19-29,767,2805,2459,347,583,374,123,15,71,293,45,14,277,450,0.237,0.323,0.386,0.709,93,949,50,42,12,14,4,4765H3D98,"OAK,SDP,TEX"
111,Ketel Marte,760,2015,2022,21-28,760,3067,2768,389,790,505,177,31,77,314,45,14,255,465,0.285,0.348,0.455,0.803,114,1260,50,19,6,19,13,468HD/5,"ARI,SEA"
112,Dansby Swanson,755,2016,2022,22-28,755,3067,2747,389,699,447,148,13,91,365,54,18,269,738,0.254,0.323,0.417,0.74,94,1146,33,19,9,23,36,*6H,ATL
113,Tim Anderson,754,2016,2022,23-29,754,3204,3052,463,879,608,159,16,96,309,102,25,114,744,0.288,0.317,0.445,0.762,106,1358,72,19,10,9,4,*6/HD,CHW
114,Adam Frazier,752,2016,2022,24-30,752,2795,2529,347,695,490,140,22,43,238,33,26,210,356,0.275,0.338,0.399,0.736,100,1008,38,35,11,10,11,4H798D/56,"PIT,SDP,SEA"
115,James McCann,752,2014,2022,24-32,752,2749,2529,254,618,429,102,10,77,309,9,9,165,705,0.244,0.297,0.384,0.681,84,971,74,32,7,16,2,2HD/3,"CHW,DET,NYM"
116,Kyle Schwarber,751,2015,2022,22-29,751,2957,2528,432,591,300,102,8,181,407,16,12,390,830,0.234,0.341,0.495,0.836,121,1252,37,26,1,12,32,7HD23/9,"BOS,CHC,PHI,WSN"
117,Stephen Vogt,751,2012,2022,27-37,751,2488,2253,250,543,335,117,12,79,297,4,5,199,468,0.241,0.302,0.409,0.711,94,921,26,9,4,23,16,2H3D97,"ARI,ATL,MIL,OAK,SFG,TBR"
